DateTime,nuclear_high_frequency_original_gwh,nuclear_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2025-01-01 00:00:00,2.9680500000000003,2.9657299222375353,2025-01-01,0,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 01:00:00,2.9685,2.966220526708416,2025-01-01,1,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 02:00:00,2.96948,2.967220196944519,2025-01-01,2,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 03:00:00,2.9748,2.9725459895096935,2025-01-01,3,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 04:00:00,2.96705,2.964807597548829,2025-01-01,4,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 05:00:00,2.96353,2.961293103429313,2025-01-01,5,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 06:00:00,2.9651300000000003,2.9628930422695094,2025-01-01,6,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 07:00:00,2.9655500000000004,2.963313325578322,2025-01-01,7,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 08:00:00,2.9655,2.9632636765531988,2025-01-01,8,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 09:00:00,2.96755,2.9653120988899664,2025-01-01,9,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 10:00:00,2.9666300000000003,2.9643929047473283,2025-01-01,10,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 11:00:00,2.96565,2.9634136766540666,2025-01-01,11,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 12:00:00,2.9644,2.962164566227654,2025-01-01,12,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 13:00:00,2.96398,2.96174457457838,2025-01-01,13,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 14:00:00,2.96163,2.959395840012093,2025-01-01,14,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 15:00:00,2.95923,2.9569964384736354,2025-01-01,15,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 16:00:00,2.95973,2.9574931960010247,2025-01-01,16,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 17:00:00,2.96153,2.9592860396487013,2025-01-01,17,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 18:00:00,2.9618800000000003,2.959624445976299,2025-01-01,18,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 19:00:00,2.9624,2.9601214088070056,2025-01-01,19,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 20:00:00,2.96283,2.9605058447514123,2025-01-01,20,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 21:00:00,2.96413,2.961714348280855,2025-01-01,21,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 22:00:00,2.9629000000000003,2.9603045606614167,2025-01-01,22,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-01 23:00:00,2.9631999999999996,2.9602426755108167,2025-01-01,23,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 00:00:00,2.9637800000000003,2.960098921933242,2025-01-02,0,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 01:00:00,2.96265,2.9586082336284036,2025-01-02,1,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 02:00:00,2.96258,2.9583574753359727,2025-01-02,2,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 03:00:00,2.9633499999999997,2.9590364227388077,2025-01-02,3,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 04:00:00,2.96073,2.9563734118960516,2025-01-02,4,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 05:00:00,2.9590500000000004,2.9546722171918383,2025-01-02,5,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 06:00:00,2.95993,2.9555401824658234,2025-01-02,6,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 07:00:00,2.9585,2.9541057343678987,2025-01-02,7,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 08:00:00,2.95833,2.9539330626729683,2025-01-02,8,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2025-01-02 09:00:00,2.96625,2.9618450442738355,2025-01-02,9,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
