DateTime,river_high_frequency_original_gwh,river_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2023-01-01 00:00:00,0.22663,1.0013054327340116,2023-01-01,0,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 01:00:00,0.22544999999999998,1.1690226357529527,2023-01-01,1,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 02:00:00,0.21983000000000003,1.24569689883086,2023-01-01,2,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 03:00:00,0.21778,1.285119531968721,2023-01-01,3,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 04:00:00,0.21118,1.2968680812929358,2023-01-01,4,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 05:00:00,0.21508000000000002,1.3130260797630557,2023-01-01,5,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 06:00:00,0.21622999999999998,1.319962405299639,2023-01-01,6,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 07:00:00,0.21505000000000002,1.3209238345654681,2023-01-01,7,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 08:00:00,0.21509999999999999,1.3223185166312965,2023-01-01,8,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 09:00:00,0.21605000000000002,1.3243367469335512,2023-01-01,9,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 10:00:00,0.21728,1.3264236549102408,2023-01-01,10,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 11:00:00,0.21753,1.3269446368217706,2023-01-01,11,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 12:00:00,0.21880000000000002,1.3288382413518456,2023-01-01,12,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 13:00:00,0.21825,1.3280879371097214,2023-01-01,13,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 14:00:00,0.21683000000000002,1.326068236356589,2023-01-01,14,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 15:00:00,0.2329,1.3490069211808513,2023-01-01,15,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 16:00:00,0.23445,1.3511771624131153,2023-01-01,16,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 17:00:00,0.23193,1.3474828585456837,2023-01-01,17,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 18:00:00,0.23058,1.3453607911016987,2023-01-01,18,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 19:00:00,0.23585,1.352498248270439,2023-01-01,19,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 20:00:00,0.20778,1.3116256285447514,2023-01-01,20,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 21:00:00,0.20643,1.3081363219827045,2023-01-01,21,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 22:00:00,0.2057,1.3039712125124159,2023-01-01,22,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-01 23:00:00,0.20435,1.2957979851256967,2023-01-01,23,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 00:00:00,0.2061,1.2858073934434835,2023-01-02,0,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 01:00:00,0.20415,1.2767771583951435,2023-01-02,1,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 02:00:00,0.1984,1.2654419227295461,2023-01-02,2,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 03:00:00,0.20078000000000001,1.2672800124337091,2023-01-02,3,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 04:00:00,0.20203,1.268284763955993,2023-01-02,4,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 05:00:00,0.21025,1.2796350765329287,2023-01-02,5,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 06:00:00,0.21484999999999999,1.2860101338659335,2023-01-02,6,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 07:00:00,0.22315000000000002,1.2977675178451151,2023-01-02,7,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2023-01-02 08:00:00,0.21883000000000002,1.2915486715582327,2023-01-02,8,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
