DateTime,storage_high_frequency_original_gwh,storage_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2024-01-01 00:00:00,0.34343,0.4792325116888385,2024-01-01,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 01:00:00,0.33355,0.48408919529799094,2024-01-01,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 02:00:00,0.33206,0.49065995085002445,2024-01-01,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 03:00:00,0.36643,0.5361077408662184,2024-01-01,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 04:00:00,0.32461,0.48798475507187644,2024-01-01,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 05:00:00,0.30583000000000005,0.46648089278304217,2024-01-01,5,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 06:00:00,0.33637999999999996,0.5036849892459052,2024-01-01,6,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 07:00:00,0.31948,0.48365531248171106,2024-01-01,7,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 08:00:00,0.37357999999999997,0.5487451086085868,2024-01-01,8,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 09:00:00,0.32771,0.49373782499860375,2024-01-01,9,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 10:00:00,0.32046,0.4850719384354127,2024-01-01,10,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 11:00:00,0.29733,0.4573291920129194,2024-01-01,11,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 12:00:00,0.401,0.5818392778763555,2024-01-01,12,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 13:00:00,0.39937999999999996,0.5799501594324099,2024-01-01,13,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 14:00:00,0.38036,0.5572188463729784,2024-01-01,14,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 15:00:00,0.61461,0.8386901621941358,2024-01-01,15,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 16:00:00,0.9187000000000001,1.2042251419777383,2024-01-01,16,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 17:00:00,1.21515,1.5610019565067292,2024-01-01,17,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 18:00:00,0.87588,1.1553041601067022,2024-01-01,18,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 19:00:00,0.80998,1.0795016248889482,2024-01-01,19,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 20:00:00,0.62358,0.862338559542297,2024-01-01,20,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 21:00:00,0.5332,0.7671124158804957,2024-01-01,21,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 22:00:00,0.40908,0.6446674198962532,2024-01-01,22,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-01 23:00:00,0.37038,0.6513708629838201,2024-01-01,23,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 00:00:00,0.38817999999999997,0.7790838239078857,2024-01-02,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 01:00:00,0.31473,0.7440631378588906,2024-01-02,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
