Date,hourly_daily_sum_gwh,daily_reference_gwh,difference_gwh,relative_difference_pct
2026-01-01,47.08979,47.0,-0.0897900000000007,-0.19104255319149085
2026-01-02,47.05768,46.9,-0.15767999999999915,-0.3362046908315547
2026-01-03,47.11642,47.0,-0.11641999999999797,-0.24770212765957014
2026-01-04,47.14084,47.0,-0.1408399999999972,-0.2996595744680791
2026-01-05,47.12087,47.0,-0.12086999999999648,-0.25717021276595
2026-01-06,47.09448,47.0,-0.09447999999999723,-0.20102127659573876
2026-01-07,47.11025,47.0,-0.11025000000000063,-0.23457446808510773
2026-01-08,47.05589,46.9,-0.15588999999999942,-0.3323880597014913
2026-01-09,46.9733,46.8,-0.17330000000000467,-0.3702991452991553
2026-01-10,47.13211,47.0,-0.13210999999999729,-0.2810851063829729
2026-01-11,47.13186,47.0,-0.1318600000000032,-0.2805531914893685
2026-01-12,47.09634,47.0,-0.09633999999999787,-0.2049787234042508
2026-01-13,47.08129,46.9,-0.18129000000000417,-0.3865458422174929
2026-01-14,47.08467,46.9,-0.1846700000000041,-0.39375266524521135
2026-01-15,47.04002,46.9,-0.1400199999999998,-0.2985501066098077
2026-01-16,47.13155,46.8,-0.33155,-0.708440170940171
2026-01-17,47.12177,46.9,-0.22176999999999936,-0.47285714285714153
2026-01-18,45.45464,45.5,0.04536000000000229,0.09969230769231271
2026-01-19,47.11382,47.0,-0.11381999999999692,-0.24217021276595088
2026-01-20,47.122749999999996,47.0,-0.12274999999999636,-0.2611702127659497
2026-01-21,47.12137,47.0,-0.12136999999999887,-0.2582340425531891
2026-01-22,47.11017,47.0,-0.11016999999999655,-0.2344042553191416
2026-01-23,47.12101,47.0,-0.12100999999999829,-0.25746808510637936
2026-01-24,47.11761,47.0,-0.1176099999999991,-0.2502340425531896
2026-01-25,47.12299,47.0,-0.12299000000000149,-0.26168085106383293
2026-01-26,47.06967,46.9,-0.16967000000000354,-0.3617697228145065
2026-01-27,47.12194,47.0,-0.12194000000000216,-0.2594468085106429
2026-01-28,47.09427,47.0,-0.09427000000000163,-0.20057446808510984
2026-01-29,47.05632,46.9,-0.1563200000000009,-0.33330490405117463
2026-01-30,47.09534,46.9,-0.19534000000000162,-0.4165031982942466
2026-01-31,47.11296,46.9,-0.21296000000000248,-0.4540724946695149
2026-02-01,47.12028,47.0,-0.12028000000000105,-0.2559148936170235
2026-02-02,47.08137,47.1,0.0186300000000017,0.03955414012739215
2026-02-03,47.06093,47.0,-0.06092999999999904,-0.12963829787233838
2026-02-04,47.07444,47.0,-0.07444000000000273,-0.15838297872341006
2026-02-05,47.09285,47.0,-0.09284999999999854,-0.19755319148935863
2026-02-06,47.07096,47.0,-0.07095999999999947,-0.1509787234042542
2026-02-07,47.0545,47.0,-0.05449999999999733,-0.11595744680850495
2026-02-08,47.11411,47.0,-0.1141099999999966,-0.24278723404254599
2026-02-09,47.08878,47.0,-0.08877999999999986,-0.18889361702127627
2026-02-10,47.09233,47.1,0.0076700000000045065,0.016284501061580692
2026-02-11,46.95418,46.9,-0.05418000000000234,-0.11552238805970648
2026-02-12,46.93201,46.9,-0.03200999999999965,-0.0682515991471208
2026-02-13,46.99649,46.9,-0.09649000000000285,-0.20573560767591226
2026-02-14,47.08142,47.0,-0.08142000000000138,-0.17323404255319444
2026-02-15,47.1389,47.1,-0.03889999999999816,-0.08259023354564365
2026-02-16,47.02432,47.0,-0.024320000000003006,-0.05174468085107022
2026-02-17,47.08324,47.0,-0.08324000000000353,-0.1771063829787309
2026-02-18,47.10489,47.1,-0.004889999999996064,-0.010382165605087186
2026-02-19,47.07028,47.0,-0.07027999999999679,-0.1495319148936102
2026-02-20,47.03262,46.9,-0.13262000000000285,-0.28277185501066704
2026-02-21,46.978790000000004,46.9,-0.07879000000000502,-0.16799573560768663
2026-02-22,46.96089,46.9,-0.060890000000000555,-0.12982942430703742
2026-02-23,46.86982,46.9,0.030180000000001428,0.06434968017057874
2026-02-24,46.84406,46.8,-0.044060000000001764,-0.09414529914530292
2026-02-25,46.93353,46.8,-0.13353000000000037,-0.2853205128205136
