DateTime,wind_high_frequency_original_gwh,wind_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind,nuclear_high_frequency_original_gwh,nuclear_benchmarked_gwh,water_high_frequency_original_gwh,water_benchmarked_gwh,solar_high_frequency_original_gwh,solar_benchmarked_gwh
2024-01-01 00:00:00,0.038090000000000006,0.04322503440915871,2024-01-01,0,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0215,2.984740823558094,0.5647800000000001,1.5814022265880503,0.0,0.03256169751874685
2024-01-01 01:00:00,0.03519,0.040684996643927565,2024-01-01,1,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0213,2.976032533829312,0.55143,1.7582832225107805,0.0,0.04070212149559147
2024-01-01 02:00:00,0.04412,0.050566883981113565,2024-01-01,2,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0197,2.9701797419470197,0.55079,1.855254991369634,0.0,0.04477233267832949
2024-01-01 03:00:00,0.041159999999999995,0.04753066910159484,2024-01-01,3,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0201,2.9684522637050557,0.58408,1.9512530241029897,0.0,0.04680743665833
2024-01-01 04:00:00,0.04275,0.049310861209211486,2024-01-01,4,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0188,2.9660898776570965,0.54216,1.9164627922897486,0.0,0.0478249854255932
2024-01-01 05:00:00,0.04535,0.05214018508824035,2024-01-01,5,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0176,2.964359180957901,0.52393,1.9029269625749696,0.0,0.04833375336375075
2024-01-01 06:00:00,0.04437,0.05110529419433423,2024-01-01,6,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0175,2.963993382109296,0.55451,1.9522732690722022,0.0,0.04858812444188144
2024-01-01 07:00:00,0.04205,0.04862175889733842,2024-01-01,7,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0175,2.9638604385564467,0.5365599999999999,1.9299576328525592,0.033550131329349635,0.08127773334040853
2024-01-01 08:00:00,0.03903,0.045381668131259434,2024-01-01,8,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0151999999999997,2.9614960432457935,0.59193,2.009760479610019,0.22643406719541653,0.26854688807041943
2024-01-01 09:00:00,0.034,0.03997984946666937,2024-01-01,9,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic,3.0176999999999996,2.963960557287159,0.54619,1.9458672522424771,0.5460283019094478,0.5787642503598567
