DateTime,nuclear_high_frequency_original_gwh,nuclear_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2024-01-01 00:00:00,3.0215,2.984740823558094,2024-01-01,0,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 01:00:00,3.0213,2.976032533829312,2024-01-01,1,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 02:00:00,3.0197,2.9701797419470197,2024-01-01,2,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 03:00:00,3.0201,2.9684522637050557,2024-01-01,3,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 04:00:00,3.0188,2.9660898776570965,2024-01-01,4,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 05:00:00,3.0176,2.964359180957901,2024-01-01,5,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 06:00:00,3.0175,2.963993382109296,2024-01-01,6,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 07:00:00,3.0175,2.9638604385564467,2024-01-01,7,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 08:00:00,3.0151999999999997,2.9614960432457935,2024-01-01,8,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 09:00:00,3.0176999999999996,2.963960557287159,2024-01-01,9,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 10:00:00,3.0158,2.9620456632653718,2024-01-01,10,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 11:00:00,3.0148,2.9610382768704064,2024-01-01,11,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
2024-01-01 12:00:00,3.014,2.960234885298352,2024-01-01,12,1,ENTSO-E,SFOE,Nuclear,Kernkraft,Nuclear,atomic
