DateTime,solar_high_frequency_original_gwh,solar_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2024-01-01 00:00:00,0.0,0.03256169751874685,2024-01-01,0,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 01:00:00,0.0,0.04070212149559147,2024-01-01,1,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 02:00:00,0.0,0.04477233267832949,2024-01-01,2,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 03:00:00,0.0,0.04680743665833,2024-01-01,3,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 04:00:00,0.0,0.0478249854255932,2024-01-01,4,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 05:00:00,0.0,0.04833375336375075,2024-01-01,5,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 06:00:00,0.0,0.04858812444188144,2024-01-01,6,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 07:00:00,0.033550131329349635,0.08127773334040853,2024-01-01,7,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 08:00:00,0.22643406719541653,0.26854688807041943,2024-01-01,8,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 09:00:00,0.5460283019094478,0.5787642503598567,2024-01-01,9,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 10:00:00,0.9038543541403525,0.9260718870663169,2024-01-01,10,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 11:00:00,0.8786596543234862,0.9016262935406053,2024-01-01,11,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 12:00:00,0.6289232413131003,0.6592447446275405,2024-01-01,12,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 13:00:00,0.5543480993977316,0.5868648073832112,2024-01-01,13,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 14:00:00,0.3954847470590794,0.43267482626083087,2024-01-01,14,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 15:00:00,0.12853392080987702,0.17357446099692253,2024-01-01,15,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 16:00:00,0.0,0.04880709777545945,2024-01-01,16,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 17:00:00,0.0,0.04877202110617598,2024-01-01,17,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 18:00:00,0.0,0.04870168144807823,2024-01-01,18,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 19:00:00,0.0,0.04856090897211732,2024-01-01,19,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 20:00:00,0.0,0.0482793174403128,2024-01-01,20,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 21:00:00,0.0,0.047716111086762415,2024-01-01,21,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 22:00:00,0.0,0.04658968673469094,2024-01-01,22,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-01 23:00:00,0.0,0.04433683220806267,2024-01-01,23,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-02 00:00:00,0.0,0.03983112024356347,2024-01-02,0,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-02 01:00:00,0.0,0.03757826447795519,2024-01-02,1,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-02 02:00:00,0.0,0.03645183702843389,2024-01-02,2,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-02 03:00:00,0.0,0.03588862417023886,2024-01-02,3,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
2024-01-02 04:00:00,0.0,0.035607019474272555,2024-01-02,4,1,ENTSO-E,SFOE,Solar,Photovoltaik,Solar,atomic
