DateTime,wind_high_frequency_original_gwh,wind_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2024-01-01 00:00:00,0.038090000000000006,0.04322503440915871,2024-01-01,0,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 01:00:00,0.03519,0.040684996643927565,2024-01-01,1,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 02:00:00,0.04412,0.050566883981113565,2024-01-01,2,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 03:00:00,0.041159999999999995,0.04753066910159484,2024-01-01,3,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 04:00:00,0.04275,0.049310861209211486,2024-01-01,4,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 05:00:00,0.04535,0.05214018508824035,2024-01-01,5,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 06:00:00,0.04437,0.05110529419433423,2024-01-01,6,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 07:00:00,0.04205,0.04862175889733842,2024-01-01,7,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 08:00:00,0.03903,0.045381668131259434,2024-01-01,8,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 09:00:00,0.034,0.03997984946666937,2024-01-01,9,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 10:00:00,0.02981,0.03547936055190436,2024-01-01,10,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 11:00:00,0.02422,0.029474174038213515,2024-01-01,11,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 12:00:00,0.02052,0.025499206282384362,2024-01-01,12,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 13:00:00,0.01811,0.022909929366574832,2024-01-01,13,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 14:00:00,0.01661,0.021298055766528,2024-01-01,14,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 15:00:00,0.02067,0.02565921842973368,2024-01-01,15,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 16:00:00,0.02607,0.03145921888743219,2024-01-01,16,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 17:00:00,0.03058,0.03630143906194682,2024-01-01,17,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 18:00:00,0.03351,0.039442984798604065,2024-01-01,18,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 19:00:00,0.04194,0.04848718713837825,2024-01-01,19,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 20:00:00,0.03857,0.04484118926638851,2024-01-01,20,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 21:00:00,0.046009999999999995,0.052783684286609164,2024-01-01,21,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 22:00:00,0.05119,0.05824733525345669,2024-01-01,22,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-01 23:00:00,0.05261,0.059569815748997584,2024-01-01,23,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 00:00:00,0.05066,0.057068569295223755,2024-01-02,0,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 01:00:00,0.05158,0.057853867264909396,2024-01-02,1,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 02:00:00,0.05175,0.05793495038922068,2024-01-02,2,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 03:00:00,0.055,0.06137585628669049,2024-01-02,3,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 04:00:00,0.05804,0.06461653507104863,2024-01-02,4,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 05:00:00,0.05901,0.0656459732184381,2024-01-02,5,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 06:00:00,0.05804,0.06459749030989308,2024-01-02,6,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 07:00:00,0.06049,0.06722650696044005,2024-01-02,7,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 08:00:00,0.05799,0.06453900154583599,2024-01-02,8,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 09:00:00,0.05725,0.06374316491252055,2024-01-02,9,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 10:00:00,0.05697,0.06344191950954207,2024-01-02,10,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 11:00:00,0.055189999999999996,0.061529298757545765,2024-01-02,11,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 12:00:00,0.05767,0.0641935179881192,2024-01-02,12,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 13:00:00,0.05475,0.061056110844716835,2024-01-02,13,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 14:00:00,0.05226,0.058380492914780334,2024-01-02,14,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 15:00:00,0.0533,0.05949697015055349,2024-01-02,15,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 16:00:00,0.05534,0.061686968627345955,2024-01-02,16,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 17:00:00,0.05575,0.06212405618014225,2024-01-02,17,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 18:00:00,0.05784,0.06436267919016063,2024-01-02,18,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 19:00:00,0.054740000000000004,0.0610185520232312,2024-01-02,19,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 20:00:00,0.06024,0.06690036663789897,2024-01-02,20,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 21:00:00,0.05972,0.06628731432033036,2024-01-02,21,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 22:00:00,0.056119999999999996,0.062310836169526665,2024-01-02,22,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-02 23:00:00,0.056600000000000004,0.06260900143188575,2024-01-02,23,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 00:00:00,0.05093,0.05608229361701982,2024-01-03,0,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 01:00:00,0.047240000000000004,0.051900357819259106,2024-01-03,1,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 02:00:00,0.04529,0.04969658159245634,2024-01-03,2,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 03:00:00,0.043429999999999996,0.04764388060477098,2024-01-03,3,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 04:00:00,0.04803,0.05255876716918381,2024-01-03,4,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 05:00:00,0.05009,0.05475836268884576,2024-01-03,5,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 06:00:00,0.047979999999999995,0.05248465464055352,2024-01-03,6,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 07:00:00,0.04707,0.05150358263493366,2024-01-03,7,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 08:00:00,0.05037,0.05504728459049722,2024-01-03,8,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 09:00:00,0.05021,0.054874531846725395,2024-01-03,9,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 10:00:00,0.04814,0.052650162603666825,2024-01-03,10,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 11:00:00,0.04711,0.05154333584050336,2024-01-03,11,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 12:00:00,0.04995,0.05459438832480728,2024-01-03,12,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 13:00:00,0.05219,0.057000837814868914,2024-01-03,13,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 14:00:00,0.053399999999999996,0.05830064366522917,2024-01-03,14,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 15:00:00,0.05751,0.06271597165486105,2024-01-03,15,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
2024-01-03 16:00:00,0.0528,0.0576551110985815,2024-01-03,16,1,ENTSO-E,SFOE,Wind,Wind,"Wind Onshore, Wind Offshore",aggregate
