DateTime,Water_ENTSOE,Water_Benchmarked,Nuclear_ENTSOE,Nuclear_Benchmarked,Solar_ENTSOE,Solar_Benchmarked,Wind_ENTSOE,Wind_Benchmarked,Thermische,Source_Hourly,Hourly_Columns,Source_Daily,Daily_Columns,Variable,Sum_ENTSOE,Sum_SFOE
2024-01-01 00:00:00,564.7800000000001,1581.4022265880503,3021.5,2984.7408235580942,0,32.561697518746854,38.09,43.22503440915871,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3624.3700000000003,5062.76311507405
2024-01-01 01:00:00,551.43,1758.2832225107804,3021.3,2976.032533829312,0,40.70212149559147,35.19,40.68499664392756,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3607.92,5236.536207479612
2024-01-01 02:00:00,550.79,1855.254991369634,3019.7,2970.17974194702,0,44.77233267832949,44.12,50.56688398111356,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3614.6099999999997,5341.607282976097
2024-01-01 03:00:00,584.08,1951.2530241029897,3020.1,2968.452263705056,0,46.807436658330005,41.16,47.53066910159484,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3645.34,5434.87672656797
2024-01-01 04:00:00,542.16,1916.4627922897487,3018.8,2966.0898776570966,0,47.8249854255932,42.75,49.31086120921149,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3603.71,5400.52184958165
2024-01-01 05:00:00,523.9300000000001,1902.9269625749696,3017.6,2964.359180957901,0,48.33375336375075,45.35,52.14018508824035,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3586.8799999999997,5388.593414984862
2024-01-01 06:00:00,554.51,1952.2732690722023,3017.5,2963.993382109296,0,48.58812444188144,44.37,51.105294194334235,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3616.38,5436.793402817714
2024-01-01 07:00:00,536.56,1929.957632852559,3017.5,2963.8604385564468,33.55013132934963,81.27773334040853,42.05,48.62175889733842,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3629.6601313293495,5444.550896646754
2024-01-01 08:00:00,591.93,2009.7604796100188,3015.2,2961.4960432457933,226.43406719541653,268.5468880704194,39.03,45.38166813125943,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3872.5940671954163,5706.018412057491
2024-01-01 09:00:00,546.1899999999999,1945.8672522424772,3017.7,2963.9605572871587,546.0283019094478,578.7642503598566,34,39.979849466669364,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4143.918301909447,5949.4052423561625
2024-01-01 10:00:00,537.86,1934.4772049621724,3015.8,2962.045663265372,903.8543541403525,926.0718870663169,29.81,35.47936055190436,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4487.324354140353,6278.907448845765
2024-01-01 11:00:00,513.76,1900.606202567375,3014.8,2961.0382768704067,878.6596543234863,901.6262935406053,24.22,29.474174038213516,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4431.439654323486,6213.578280016601
2024-01-01 12:00:00,621.9,2053.5844828496874,3014,2960.2348852983523,628.9232413131003,659.2447446275405,20.52,25.499206282384364,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4285.3432413131,6119.396652057964
2024-01-01 13:00:00,615.96,2045.2606428107813,3013.9,2960.132980992109,554.3480993977315,586.8648073832112,18.11,22.909929366574833,420.833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4202.318099397732,6036.001693552676
