DateTime,water_gwh,water_benchmarked_gwh,date,hour,month,variable,indicator_source,indicator_type,target_source,target_type,kind
2024-01-01 00:00:00,0.5647800000000001,1.5814022265880503,2024-01-01,0,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 01:00:00,0.55143,1.7582832225107805,2024-01-01,1,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 02:00:00,0.55079,1.855254991369634,2024-01-01,2,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 03:00:00,0.58408,1.9512530241029897,2024-01-01,3,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 04:00:00,0.54216,1.9164627922897486,2024-01-01,4,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 05:00:00,0.52393,1.9029269625749696,2024-01-01,5,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 06:00:00,0.55451,1.9522732690722022,2024-01-01,6,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 07:00:00,0.5365599999999999,1.9299576328525592,2024-01-01,7,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 08:00:00,0.59193,2.009760479610019,2024-01-01,8,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 09:00:00,0.54619,1.9458672522424771,2024-01-01,9,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 10:00:00,0.53786,1.9344772049621723,2024-01-01,10,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 11:00:00,0.51376,1.9006062025673751,2024-01-01,11,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 12:00:00,0.6219,2.0535844828496876,2024-01-01,12,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 13:00:00,0.6159600000000001,2.0452606428107813,2024-01-01,13,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 14:00:00,0.5955400000000001,2.016468869191803,2024-01-01,14,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 15:00:00,0.83189,2.350693788089952,2024-01-01,15,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 16:00:00,1.1378300000000001,2.7833886391055795,2024-01-01,16,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 17:00:00,1.43355,3.201835880097744,2024-01-01,17,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 18:00:00,1.09331,2.7216743778333536,2024-01-01,18,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 19:00:00,1.03043,2.634407488703916,2024-01-01,19,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 20:00:00,0.8406300000000001,2.369343676649902,2024-01-01,20,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 21:00:00,0.75208,2.2506527243558905,2024-01-01,21,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 22:00:00,0.62736,2.08731651880039,2024-01-01,22,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 23:00:00,0.58038,2.04684765076801,2024-01-01,23,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 00:00:00,0.59756,2.1230207670458885,2024-01-02,0,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 01:00:00,0.52621,2.0481016815317687,2024-01-02,1,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 02:00:00,0.51685,2.047841830295635,2024-01-02,2,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 03:00:00,0.52726,2.0690435890961103,2024-01-02,3,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 04:00:00,0.60585,2.183383754195985,2024-01-02,4,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 05:00:00,0.75973,2.402534702226408,2024-01-02,5,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 06:00:00,1.01181,2.75969343739392,2024-01-02,6,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 07:00:00,1.02011,2.7718318603221848,2024-01-02,7,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
