DateTime,water_gwh,water_scaled_gwh,date,hour,month,variable,indicator_source,indicator_type,target_source,target_type,kind
2024-01-01 00:00:00,0.5647800000000001,1.7254616667979408,2024-01-01,0,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 01:00:00,0.55143,1.6846760276964277,2024-01-01,1,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 02:00:00,0.55079,1.682720761102797,2024-01-01,2,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 03:00:00,0.58408,1.7844251750121132,2024-01-01,3,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 04:00:00,0.54216,1.6563552131293096,2024-01-01,4,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 05:00:00,0.52393,1.6006606662513634,2024-01-01,5,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 06:00:00,0.55451,1.6940857481782747,2024-01-01,6,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 07:00:00,0.5365599999999999,1.639246630435042,2024-01-01,7,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 08:00:00,0.59193,1.808407741824613,2024-01-01,8,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 09:00:00,0.54619,1.668667282461077,2024-01-01,9,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 10:00:00,0.53786,1.6432182657033543,2024-01-01,10,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 11:00:00,0.51376,1.5695902580369525,2024-01-01,11,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 12:00:00,0.6219,1.8999692102794705,2024-01-01,12,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 13:00:00,0.6159600000000001,1.8818218922073366,2024-01-01,13,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 14:00:00,0.5955400000000001,1.819436667454311,2024-01-01,14,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 15:00:00,0.83189,2.541510510273981,2024-01-01,15,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 16:00:00,1.1378300000000001,3.476189044110452,2024-01-01,16,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 17:00:00,1.43355,4.379644414529884,2024-01-01,17,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 18:00:00,1.09331,3.340175811691024,2024-01-01,18,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 19:00:00,1.03043,3.1480708688668186,2024-01-01,19,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 20:00:00,0.8406300000000001,2.5682121196932486,2024-01-01,20,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 21:00:00,0.75208,2.2976826558401418,2024-01-01,21,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 22:00:00,0.62736,1.9166500784063814,2024-01-01,22,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-01 23:00:00,0.58038,1.7731212900176863,2024-01-01,23,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
